VTX, IDX, POSITION.x, POSITION.y, POSITION.z, NORMAL.x, NORMAL.y, NORMAL.z, NORMAL.w, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w, TEXCOORD0.x, TEXCOORD0.y
5279, 1238,  0.06795,  0.00759,  0.53064,  0.05081,  0.99658,  0.06543,  0.00, -0.98193,  0.06177, -0.17847,  1.00, -0.95996,  0.5918
5280, 1242,  0.0709,  0.00918,  0.49779,  0.00906,  0.99902,  0.04239,  0.00, -0.98584,  0.01607, -0.16809,  1.00, -0.9541,  0.52881
5281, 1241,  0.08264,  0.00888,  0.46906,  0.42456,  0.90332,  0.0647,  0.00, -0.8916,  0.42944, -0.14258,  1.00, -0.96826,  0.47046
5282, 1243,  0.07227,  0.01081,  0.46501,  0.06696,  0.99561,  0.0661,  0.00, -0.98486,  0.07654, -0.15527,  1.00, -0.94678,  0.46582
5283, 1244,  0.06357,  0.00853,  0.49524, -0.46631,  0.88428,  0.01895,  0.00, -0.86963, -0.4541, -0.19397,  1.00, -0.93896,  0.52637
5284, 1237,  0.05815,  0.00461,  0.52322, -0.75439,  0.65381, -0.05981,  0.00, -0.63525, -0.75, -0.18335,  1.00, -0.93555,  0.58154
5285, 1236,  0.06029,  0.00727,  0.52534, -0.44385,  0.896, -0.01204,  0.00, -0.87744, -0.43701, -0.19836,  1.00, -0.94287,  0.58447
5286, 1236,  0.06029,  0.00727,  0.52534, -0.44385,  0.896, -0.01204,  0.00, -0.87744, -0.43701, -0.19836,  1.00, -0.94287,  0.58447
5287, 1242,  0.0709,  0.00918,  0.49779,  0.00906,  0.99902,  0.04239,  0.00, -0.98584,  0.01607, -0.16809,  1.00, -0.9541,  0.52881
5288, 1244,  0.06357,  0.00853,  0.49524, -0.46631,  0.88428,  0.01895,  0.00, -0.86963, -0.4541, -0.19397,  1.00, -0.93896,  0.52637
5289, 1243,  0.07227,  0.01081,  0.46501,  0.06696,  0.99561,  0.0661,  0.00, -0.98486,  0.07654, -0.15527,  1.00, -0.94678,  0.46582
5290, 1244,  0.06357,  0.00853,  0.49524, -0.46631,  0.88428,  0.01895,  0.00, -0.86963, -0.4541, -0.19397,  1.00, -0.93896,  0.52637
5291, 1242,  0.0709,  0.00918,  0.49779,  0.00906,  0.99902,  0.04239,  0.00, -0.98584,  0.01607, -0.16809,  1.00, -0.9541,  0.52881
5292, 1237,  0.05815,  0.00461,  0.52322, -0.75439,  0.65381, -0.05981,  0.00, -0.63525, -0.75, -0.18335,  1.00, -0.93555,  0.58154
5293, 1244,  0.06357,  0.00853,  0.49524, -0.46631,  0.88428,  0.01895,  0.00, -0.86963, -0.4541, -0.19397,  1.00, -0.93896,  0.52637
5294, 1245,  0.06122,  0.00556,  0.49477, -0.78369,  0.62109, -0.00484,  0.00, -0.60938, -0.77051, -0.18811,  1.00, -0.93164,  0.52686
5295, 1244,  0.06357,  0.00853,  0.49524, -0.46631,  0.88428,  0.01895,  0.00, -0.86963, -0.4541, -0.19397,  1.00, -0.93896,  0.52637
